oaptlocation,destname,daptlocation,oname,dname,tbl,y,quart,origincty,destcty,originname,distance,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,numrecs,x
"Las Vegas, NV","San Diego, CA","San Diego, CA","Las Vegas, NV","San Diego, CA",Table 1,0,20133,32211,33570,"Las Vegas, NV",258,1486.521739,122.137375,WN,86.96256215,126.753835,NK,10.9096227,80.00402815,46,0
"Fresno, CA","Las Vegas, NV","Las Vegas, NV","Fresno, CA","Las Vegas, NV",Table 1,0,20133,31638,32211,"Fresno, CA",259,338.3695652,114.059229,UA,68.00513974,125.1123146,G4,30.80629618,84.44316997,47,0
"Newburgh/Poughkeepsie, NY","Richmond, VA","Richmond, VA","New York City, NY (Metro Area)","Richmond, VA",Table 1,0,20133,31703,34524,"New York City, NY (Metro Area)",325,380,321.1791419,DL,55.43478261,335.4779463,US,15.30320366,235.0361869,48,26
"Nashville, TN","Charlotte, NC","Charlotte, NC","Nashville, TN","Charlotte, NC",Table 1,0,20133,30693,31057,"Nashville, TN",328,257.0652174,247.606148,US,73.2346723,269.2563972,DL,21.52219873,164.5609627,49,0
"Islip, NY","Norfolk, VA (Metro Area)","Norfolk, VA","New York City, NY (Metro Area)","Norfolk, VA (Metro Area)",Table 1,20,20133,31703,33667,"New York City, NY (Metro Area)",337,382.2826087,241.1915183,DL,37.93005402,265.4977961,US,29.28632357,205.3907,,
"Philadelphia, PA","Raleigh/Durham, NC","Raleigh/Durham, NC","Philadelphia, PA","Raleigh/Durham, NC",Table 1,0,20133,34100,34492,"Philadelphia, PA",337,534.2391304,227.0550254,US,84.27263479,231.9125592,DL,7.853509664,165.4484456,51,0
"Providence, RI","Rochester, NY","Rochester, NY","Boston, MA (Metro Area)","Rochester, NY",Table 1,0,20133,30721,34576,"Boston, MA (Metro Area)",343,185,226.3705112,US,80.49353702,240.1609781,UA,7.109283196,152.8147107,52,19
"Charlotte, NC","Columbus, OH","Columbus, OH","Charlotte, NC","Columbus, OH",Table 1,0,20133,31057,31066,"Charlotte, NC",347,195.2173913,224.4918207,US,69.37639198,253.7370225,DL,21.43652561,148.4921039,53,0
"Atlanta, GA","Greensboro/High Point, NC","Greensboro/High Point, NC","Atlanta, GA (Metro Area)","Greensboro/High Point, NC",Table 1,0,20133,30397,31995,"Atlanta, GA (Metro Area)",306,187.3913044,223.0048724,DL,90.3712297,224.179249,US,8.700696056,2,,
"Cleveland, OH","Washington, DC (Metro Area)","Baltimore, MD","Cleveland, OH (Metro Area)","Washington, DC (Metro Area)",Table 1,23,20133,30647,30852,"Cleveland, OH (Metro Area)",314,705.1086957,195.1563851,WN,50.70140281,138.6496169,WN,50.70140281,138,,
"Washington, VA","Columbus, OH","Columbus, OH","Washington, DC (Metro Area)","Columbus, OH",Table 1,0,20133,30852,31066,"Washington, DC (Metro Area)",337,787.3913044,187.2137631,WN,53.28547764,155.6826839,WN,53.28547764,155.6826839,56,23
"Chicago, IL","Des Moines, IA","Des Moines, IA","Chicago, IL","Des Moines, IA",Table 1,0,20133,30977,31423,"Chicago, IL",306,272.826087,186.3079801,UA,40.35856574,214.3983416,WN,17.09163347,145.8537296,57,0
"Atlanta, GA","Memphis, TN","Memphis, TN","Atlanta, GA (Metro Area)","Memphis, TN",Table 1,0,20133,30397,33244,"Atlanta, GA (Metro Area)",332,499.0217391,185.7016119,DL,79.56872141,193.1126444,FL,18.9501198,154.2195058,58,20
"Houston, TX","New Orleans, LA","New Orleans, LA","Houston, TX","New Orleans, LA",Table 1,0,20133,31453,33495,"Houston, TX",305,1600.652174,183.9078358,WN,58.14885237,178.553695,WN,58.14885237,178.553695,59,0
"Cleveland, OH","Chicago, IL","Chicago, IL","Cleveland, OH (Metro Area)","Chicago, IL",Table 1,0,20133,30647,30977,"Cleveland, OH (Metro Area)",343,1335.108696,180.6074436,UA,45.99853456,199.7929699,WN,39.8681104,154.8381397,60,22
"Austin, TX","Lubbock, TX","Lubbock, TX","Austin, TX","Lubbock, TX",Table 1,0,20133,30423,32896,"Austin, TX",341,181.6304348,172.5895093,WN,92.57929384,170.6522301,WN,92.57929384,170.6522301,61,0
"Albany, NY","Washington, DC (Metro Area)","Baltimore, MD","Albany, NY","Washington, DC (Metro Area)",Table 1,23,20133,30257,30852,"Albany, NY",325,594.3478261,171.8629115,WN,56.10826628,155.1684192,WN,56.10826628,155.1684192,62,0
"Dallas, TX","Midland/Odessa, TX","Midland/Odessa, TX","Dallas, TX","Midland/Odessa, TX",Table 1,0,20133,30194,33158,"Dallas/Fort Worth, TX",319,493.3695652,170.3901234,WN,77.06543292,170.0838965,AA,22.38378498,168.5466142,63,0
"Hartford, CT","Washington, DC (Metro Area)","Baltimore, MD","Hartford, CT","Washington, DC (Metro Area)",Table 1,23,20133,30529,30852,"Hartford, CT",326,895.9782609,165.4490525,WN,52.80844353,152.7220377,WN,52.80844353,152.7220377,64,0
"Albuquerque, NM","Phoenix, AZ","Phoenix, AZ","Albuquerque, NM","Phoenix, AZ",Table 1,0,20133,30140,30466,"Albuquerque, NM",328,679.3478261,163.5341584,WN,84.4,163.7417555,US,15.6,162.4110051,65,0
"Jacksonville, FL","Miami, FL (Metro Area)","Fort Lauderdale, FL","Jacksonville, FL","Miami, FL (Metro Area)",Table 1,18,20133,31136,32467,"Jacksonville, FL",335,440.4347826,163.3881417,WN,65.52319842,154.7347307,WN,65.52319842,154.7347307,66,0
"Phoenix, AZ","El Paso, TX","El Paso, TX","Phoenix, AZ","El Paso, TX",Table 1,0,20133,30466,30615,"Phoenix, AZ",347,305.4347826,162.9952705,WN,83.09608541,162.2049336,WN,83.09608541,162.2049336,67,0
"Los Angeles, CA","Salinas/Monterey, CA","Monterey, CA","Los Angeles, CA (Metro Area)","Monterey, CA",Table 1,0,20133,32575,34922,"Los Angeles, CA (Metro Area)",302,214.8913044,160.6297471,UA,67.62771877,149.0879132,UA,67.62771877,149.0879132,68,24
